"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2000";4309,46;3864,01;5955,35;5476,79;3076,43;4941,04;3173,22;2107,22;2132,30;3042,41;3284,31;2711,39;3404,64;2752,32;3664,83;3559,47;5623,47;7506,25;9711,07;11453,79;7228,64;8086,07;8030,66;5447,73;5937,87;5246,42;22658,01;6946,34
"2001";4651,54;4309,39;6223,80;6028,53;3519,78;5618,06;4087,64;2341,82;2252,94;3250,37;3674,12;3127,70;3776,73;2971,45;4412,50;3866,75;6140,84;7712,61;10447,39;12316,67;7881,91;8946,76;8953,43;6229,87;6369,74;5846,72;24564,76;7553,61
"2002";5433,73;4887,09;7357,39;6667,26;3975,88;6372,59;4645,51;2662,07;2561,98;3775,04;4275,64;3557,66;4360,25;3398,20;5121,47;4553,87;6966,05;8356,79;11638,58;13404,04;9023,00;10082,26;10134,75;7079,04;8039,65;7181,07;26161,33;8462,45
"2003";6697,39;5502,38;8240,36;7660,32;4525,42;6421,04;5886,21;3146,82;3002,04;4197,42;4679,60;4023,70;4816,13;3841,93;5800,63;5070,25;8021,35;9557,46;12636,14;14979,51;11048,85;11922,00;11849,60;8883,09;10518,81;8072,55;28817,76;9610,94
"2004";7608,70;6415,31;9778,20;7645,01;5311,11;6953,76;6605,05;3634,80;3328,69;4689,13;5329,77;4241,02;5341,88;4373,05;6393,60;5835,26;9451,07;12192,48;14830,06;16399,03;12224,52;13609,94;12986,65;9599,19;13700,89;8888,92;31663,53;10839,81
"2005";8395,79;6693,55;10318,33;8124,56;5612,31;7335,06;6939,47;4150,94;3701,24;5055,43;5950,48;4691,14;5933,46;4688,27;6823,52;6581,08;10013,77;13854,93;16057,38;17975,60;12344,46;14542,74;13298,13;9561,03;13365,07;8992,02;34514,72;11658,12
"2006";8389,27;7040,88;11826,14;9074,44;6240,06;8542,82;7208,33;4627,71;4211,90;5634,94;6753,08;5506,55;6526,63;5162,19;7559,23;6918,98;11024,75;15234,78;17692,59;19550,35;13151,95;15633,12;14304,83;10592,38;12340,68;9956,28;37599,28;12686,60
"2007";9435,52;8188,96;12399,59;10038,02;6829,34;9459,06;8164,07;5044,77;4611,30;6037,94;7433,45;6082,37;7246,73;5767,56;8308,96;7785,69;12236,40;17143,40;18856,12;21668,43;15371,28;17295,19;15939,53;12062,84;14667,83;11164,88;41061,74;14056,26
"2008";11976,57;9896,16;14014,13;11844,72;7992,71;11032,67;10222,71;6103,52;5372,40;7111,85;8202,81;6865,98;8064,95;6227,50;9778,96;8378,31;14232,73;20230,85;21621,36;24456,84;16927,32;20368,53;18377,73;14187,47;18049,81;12877,88;45977,56;15991,55
"2009";13455,71;10686,87;14620,99;13270,54;7859,17;11816,64;11277,60;6259,46;6051,41;7686,67;8893,61;7617,76;8901,87;6728,22;9786,89;9364,62;14328,33;19145,74;22103,04;26202,18;17779,14;21214,59;19778,55;15406,62;19087,09;14446,66;50438,48;16917,62
"2010";15079,69;11555,33;17158,31;14075,24;10268,71;12346,00;12461,74;6883,25;7074,28;9212,25;10207,90;8481,83;10821,04;7875,29;11572,51;11011,02;17930,04;23363,57;25461,20;30235,81;20804,17;24403,28;23609,90;17767,98;19636,77;16252,39;58325,68;19763,93
"2011";17659,33;11782,59;18244,30;15105,86;11493,73;13105,24;12891,19;7852,71;7835,75;10314,29;11286,99;9348,69;11776,10;9079,48;12536,45;11340,18;19573,29;27542,13;28696,42;32449,06;22769,98;26760,82;24562,81;19875,45;23218,24;18298,59;63020,02;21535,65
"2012";18466,50;12690,32;17855,78;15577,13;11634,70;14914,84;13775,67;8760,34;8137,51;10473,12;12249,46;10151,88;13138,48;9333,43;13180,93;11832,33;20324,58;29996,30;31064,63;33624,41;24194,79;27771,85;25779,21;21744,32;25945,87;20134,26;64653,00;22642,40
